month,complaints,dlp_citations,provenance
2024-01,0,37,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-02,0,40,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-03,0,45,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-04,68,39,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-05,73,48,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-06,109,40,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-07,106,34,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-08,117,35,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-09,100,44,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-10,89,28,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-11,86,28,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2024-12,105,29,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-01,420,32,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-02,363,58,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-03,299,62,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-04,276,51,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-05,219,26,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-06,249,21,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-07,214,1,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-08,209,1,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-09,236,5,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-10,206,4,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-11,168,5,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2025-12,151,1,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2026-01,206,19,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2026-02,127,13,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2026-03,157,17,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2026-04,248,16,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2026-05,236,0,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
2026-06,28,0,"calculated: monthly counts, complaints PRR C263990 + DLP citations PRR C263949; scripts/compare_complaints_citations.py"
