park,complaints_2024_26,citations_2024_26,complaint_citation_ratio,latitude,longitude,provenance
WEST QUEEN ANNE PLAYFIELD,255,53,4.81,47.635507,-122.359489,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WARREN G. MAGNUSON PARK,140,51,2.75,47.680198,-122.255054,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
DISCOVERY PARK,109,59,1.85,47.660735,-122.416015,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MAPLE LEAF RESERVOIR PARK,147,21,7.0,47.690146,-122.31548,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
EAST QUEEN ANNE PLAYGROUND,132,10,13.2,47.636133,-122.353773,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
VOLUNTEER PARK,99,25,3.96,47.630372,-122.315553,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
DELRIDGE PLAYFIELD,111,10,11.1,47.562836,-122.364354,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LAURELHURST PLAYFIELD,96,21,4.57,47.659884,-122.278004,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BEACON HILL PLAYGROUND,108,2,54.0,47.586222,-122.31531,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
E HARRISON ST,109,0,,47.62264,-122.282592,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LINCOLN PARK,97,11,8.82,47.531154,-122.395833,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
CAL ANDERSON PARK,95,8,11.88,47.617008,-122.319117,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
RAINIER PLAYFIELD,100,1,100.0,47.561813,-122.286184,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
GREEN LAKE PARK,93,8,11.62,47.678224,-122.33773,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SALMON BAY PARK,85,15,5.67,47.679512,-122.382129,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WOODLAND PARK,62,35,1.77,47.668885,-122.344161,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
GENESEE PARK AND PLAYFIELD,68,11,6.18,47.56486,-122.278761,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
QUEEN ANNE BOWL PLAYFIELD,66,4,16.5,47.645593,-122.359732,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
GOLDEN GARDENS PARK,44,24,1.83,47.691453,-122.402482,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
PENDLETON MILLER PLAYFIELD,59,7,8.43,47.621426,-122.306246,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
HIAWATHA PLAYFIELD,55,10,5.5,47.578267,-122.38495,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
DAVID RODGERS PARK,47,13,3.62,47.644142,-122.359469,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LOYAL HEIGHTS PLAYFIELD,36,13,2.77,47.6841,-122.383226,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ROGERS PLAYGROUND,35,11,3.18,47.642594,-122.325243,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WALLINGFORD PLAYFIELD,35,8,4.38,47.658548,-122.337419,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BALLARD PLAYGROUND,36,6,6.0,47.67278,-122.391535,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
GILMAN PLAYGROUND,24,18,1.33,47.667287,-122.369669,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
B.F. DAY PLAYGROUND,37,5,7.4,47.656024,-122.349208,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SEWARD PARK,26,14,1.86,47.554798,-122.251991,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WESTCREST PARK,28,11,2.55,47.524566,-122.340179,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SANDEL PLAYGROUND,32,6,5.33,47.695129,-122.358684,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SOUNDVIEW PLAYFIELD,9,24,0.38,47.695409,-122.378864,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
JUDKINS PARK AND PLAYFIELD N,16,17,0.94,47.594457,-122.30381,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
JEFFERSON PARK,21,12,1.75,47.568903,-122.310777,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ALKI BEACH PARK,23,9,2.56,47.583627,-122.403339,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
RAVENNA-ECKSTEIN PARK,28,2,14.0,47.676873,-122.304917,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MEADOWBROOK PLAYFIELD,21,8,2.62,47.705766,-122.293479,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MARTHA WASHINGTON PARK,8,17,0.47,47.542432,-122.260413,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
CARKEEK PARK,11,14,0.79,47.710532,-122.365939,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
GAS WORKS PARK,18,5,3.6,47.645742,-122.335106,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WASHINGTON PARK,21,1,21.0,47.626529,-122.294089,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LOWMAN BEACH PARK,17,5,3.4,47.540128,-122.396981,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
