park,year,dlp_only,citations
10 Raye Street,2018,True,2
1000 N 50th Street,2017,True,1
1000 N 50th Street,2018,True,3
10045 49th Avenue NE,2014,True,1
1011 183rd Street SE,2015,True,1
10145 Rainier Avenue S,2018,True,1
1015 N 49th Street,2015,True,1
1020 NE 82nd Street,2016,True,3
1020 NE 82nd Street,2017,True,5
1020 NE 82nd Street,2018,True,1
10246 47th Avenue SW,2014,True,2
1028 NE 96th Street,2015,True,1
10349 SE 187TH Place,2015,True,1
1035 NE 71st Street B,2014,True,2
10411 2ND Place SW,2015,True,1
10423 NE 32nd Place E305,2014,True,1
10436 21st Avenue SW,2014,True,1
10440 65th Avenue S,2015,True,1
1049 NE 92nd Street,2015,True,1
1051 S Sullivan Street B,2015,True,1
1052 S Donovan Street,2014,True,1
10533 35th Avenue NE,2017,True,1
10549 Stone Avenue N 301,2014,True,1
10550 Lake City Way NE 6,2015,True,1
10765 14th Avenue SW,2014,True,1
10865 24th Avenue S,2015,True,1
1100 SW Cloverdale Street,2018,True,2
1103 26th Avenue S,2015,True,2
11038 28th Avenue NE,2014,True,1
1105 Spring Street 1103,2015,True,1
11050 8th Avenue NE 504,2014,True,1
11050 8th Avenue NE 504,2015,True,1
11065 22nd Avenue SW,2015,True,1
111 20th Avenue S,2017,True,1
1118 15th Avenue E,2015,True,1
1126 36th Avenue,2015,True,1
1128 32nd Avenue S,2015,True,1
1136 S Albro Place,2017,True,1
1138 Olympic Way W,2014,True,1
114 24th Avenue E B8,2014,True,1
115 W Galer Street 101,2014,True,1
1154 15th Avenue E,2015,True,1
11544 Greenwood Avenue N 1,2015,True,2
1157 N 78th Street,2015,True,1
119 NW 41st Street,2014,True,1
120 1st Avenue W 503,2014,True,1
120 Republican Street 612,2015,True,1
1200 E Howe Street,2018,True,8
1200 E Howe Street,2019,True,1
1205 E Olive Street A,2015,True,1
12055 28th Avenue NE,2015,True,1
1221 Minor Avenue 102,2015,True,2
123 N 103rd Street W325,2015,True,1
12314 18th Avenue NE,2015,True,2
12317 15th Avenue NE 405,2014,True,1
12349 36th Avenue NE,2014,True,1
124 NE 63rd Street,2015,True,1
1249 NE 168th Street,2014,True,1
12715 1st Avenue NW,2015,True,1
12716 8th Avenue SW,2015,True,1
12718 1st Avenue NE,2018,True,2
12735 39th Avenue NE,2014,True,1
12735 39th Avenue NE,2015,True,1
12936 64th Avenue S,2015,True,1
130 23rd Avenue E,2014,True,1
13000 Admiralty Way L203,2015,True,1
1301 W Emerson Street 1,2015,True,1
13035 Linden Avenue N,2018,True,1
1304 NE 42nd Street 311,2014,True,1
1304 S Stevens Street,2015,True,2
1317 13th Avenue S,2015,True,1
1321 Queen Anne Avenue N 210,2015,True,1
1321 W Emerson Street 3,2015,True,1
13224 42nd Avenue NE,2014,True,1
1323 Boren Avenue #306,2015,True,1
13349 37th Avenue S,2015,True,1
13407 Greenwood Avenue N 308C,2015,True,1
13512 Ashworth Avenue N,2016,True,2
13708 10th Avenue S,2015,True,1
1401 5TH Avenue W 111,2014,True,1
1416 4th Avenue W A,2014,True,1
1416 SW Webster Street,2015,True,1
1420 4th Avenue W 207,2014,True,1
1433 Lake Washington Boulevard,2015,True,1
1447 NW 205th Street,2015,True,1
1450 E Republican Street 306,2015,True,1
14720 25th Avenue NE,2014,True,1
1476 NW 70th A,2015,True,1
14803 6th Avenue NE,2015,True,1
1500 42nd Avenue E #6,2014,True,2
1508 35th Avenue S,2015,True,1
151 SE Paulcyn Lane,2015,True,1
1511 NW 90th Street,2015,True,1
1516 E Republican #4,2015,True,1
1520 California Avenue SW 202,2015,True,1
