year,dlp_citations,all_citations,aco_fte,fmw_fte,annual_cost,cost_per_citation,citations_per_fte,first_offense_pct,repeat_offense_pct,fee_revenue,partial_year,funded_aco_fte,funded_aco_cost,traceable_aco_cost,cost_basis,result_citation,result_verbal,result_other,cost_per_actual_citation
2014,183,183,0.5,0.0,76200,416,366.0,83.6,16.4,11746,false,0.5,76200,76200,modeled,183,0,0,
2015,519,519,0.5,0.0,76200,147,1038.0,88.8,11.2,31881,false,0.5,76200,76200,modeled,498,0,21,
2016,952,952,0.75,0.75,219299,230,634.7,87.5,12.5,59634,false,0.75,114299,114299,modeled,951,0,1,
2017,844,844,1.0,1.0,292399,346,422.0,85.9,14.1,53750,false,1.0,152399,152399,modeled,840,3,1,
2018,1276,1276,1.0,1.0,292399,229,638.0,85.5,14.5,52547,false,1.0,152399,152399,modeled,441,835,0,663
2019,1181,1360,1.0,1.0,292399,248,590.5,87.9,12.1,36304,false,1.0,152399,152399,modeled,66,787,328,4430
2020,393,446,1.0,1.0,292399,744,196.5,91.9,8.1,11284,false,1.0,152399,152399,modeled,25,292,76,11696
2021,471,559,1.0,1.0,292399,621,235.5,91.5,8.5,15151,false,1.0,152399,152399,modeled,43,347,81,6800
2022,169,199,1.0,1.0,292399,1730,84.5,91.7,8.3,4812,false,1.0,152399,152399,modeled,18,130,21,16244
2023,248,285,1.0,0.0,453056,1827,248.0,94.0,6.0,7086,false,3.0,454652,453056,billed,35,159,54,12944
2024,447,514,1.0,0.0,456173,1021,447.0,96.4,3.6,6354,false,3.0,454652,456173,billed,21,350,76,21723
2025,267,326,1.0,0.0,169565,635,267.0,95.9,4.1,3628,false,3.0,454652,169565,modeled,23,230,14,7372
2026,65,69,1.0,0.0,176093,,,90.8,9.2,708,true,3.0,528279,176093,modeled,7,58,0,
