metric,value,year,source,notes,provenance
Dog owners admitting weekly-to-monthly illegal off-leash in local parks,39%,2015,SPR People Dogs and Parks Plan (Aug 2017) — Survey of Dog Owners p.17,2015 survey of 3970 dog owners published in the 2017 plan; self-reported likely undercount,sourced: sources/people-dogs-and-parks-plan-august-2017.pdf p.17 (verbatim: 39 percent illegally use local parks weekly to monthly)
Dog owners admitting weekly-to-monthly illegal off-leash in large parks,38%,2015,SPR People Dogs and Parks Plan (Aug 2017) — Survey of Dog Owners p.17,Same 2015 survey separate bullet; earlier mislabeled as trails (park trails was 36% and not framed weekly-to-monthly),sourced: sources/people-dogs-and-parks-plan-august-2017.pdf p.17 (verbatim: 38 percent illegally use large parks weekly to monthly)
Dog owners admitting illegal off-leash use on park trails,36%,2015,SPR People Dogs and Parks Plan (Aug 2017) — Survey of Dog Owners p.17,Third setting; the plan does not frame trails as weekly-to-monthly,sourced: sources/people-dogs-and-parks-plan-august-2017.pdf p.17 (verbatim: 36 percent illegally use park trails)
Blended illegal off-leash use across settings (site headline),38%,2015,Unweighted mean of the three 2015-survey settings (39/38/36),Mean = 37.67% rounds to 38%; documented on part2-access.html Finding 05,derived: mean of local-parks/large-parks/trails rows above (People Dogs and Parks Plan p.17)
Find It Fix It nuisance-dog complaints filed via app,1100,2024,Seattle Find It Fix It approximate,Trend line would need PRR,sourced: per row source column (2024)
Off-leash tickets issued by Seattle Animal Control,435,2016-Mar-Aug,Seattle Animal Control 6-month period,Not current but indicative,sourced: per row source column (2016-Mar-Aug)
OLA Expansion Study survey respondents,4700,2023,SPR Parkways Feb 2024 announcement,Demonstrates demand,sourced: SPR owner survey / agency output (2023)
Dog park amenity score out of 100,65,2025,TPL ParkScore Seattle,Lowest of Seattle's amenity sub-scores,sourced: TPL 2025 ParkScore Seattle
Playground amenity score,48,2025,TPL ParkScore Seattle,For comparison,sourced: TPL 2025 ParkScore Seattle
Seattle overall ParkScore,77.4,2025,TPL ParkScore Seattle,8th nationally,sourced: TPL 2025 ParkScore Seattle
Pct residents within 10-min walk of any park,99%,2025,TPL ParkScore Seattle,National top-tier,sourced: TPL 2025 ParkScore Seattle
Pct residents within 10-min network walk of an OLA,11.7%,2026,scripts/compute_walkshed.py + scripts/population_coverage.py,Population-weighted osmnx walkshed × 2020 Census block groups; supersedes earlier 33% straight-line estimate,calculated: reproducible from committed Python script against 2020 Census + OSM walk network
Pct residents within SPR's 2.5-mi OLA access standard,76.6%,2026,scripts/compute_walkshed.py + scripts/population_coverage.py,Same pipeline; for comparison to SPR's People Dogs Parks Plan access claim,calculated: reproducible from committed Python script against 2020 Census + OSM walk network
