year,licenses_issued,new_licenses,renewals,pct_altered,note,provenance
2014,24309,7803,16506,94.1,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2015,24861,9710,15151,94.5,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2016,22973,9302,13671,94.3,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2017,20754,7820,12934,95.5,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2018,23618,8483,15135,95.5,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2019,23215,9314,13901,94.6,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2020,22568,8104,14464,93.2,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2021,22088,8712,13376,92.4,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2022,21087,6780,14307,92.0,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2023,20355,6709,13646,92.0,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2024,20694,7423,13271,90.6,,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
2025,19219,11458,7761,89.4,new/renewal unreliable: 1-yr transition,"calculated: scripts/build_licensing_datasets.py from PRR C264029 (2014-2025PDR.xlsx); each row = a license issued, not active count"
