zip,neighborhood,licenses_2014_25,provenance
98115,NE Seattle / Wedgwood,22841,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98103,Wallingford / Fremont,19866,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98117,Ballard,18590,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98125,Lake City / Northgate,15106,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98118,Columbia City,14208,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98116,West Seattle / Alki,11770,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98199,Magnolia,11575,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98122,Capitol Hill / CD,11218,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98126,West Seattle / Delridge,10384,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98107,Ballard / Fremont,10346,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98144,Beacon Hill / Mt Baker,9999,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98106,South Delridge / Highland Park,9988,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
98105,University District,9616,"calculated: scripts/build_licensing_datasets.py from PRR C264029; home ZIP, 2014-2025 pooled issuances (not per-capita)"
