year,dog_license_revenue,partial_flag,provenance
2014,732122,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2015,789506,actuals through Nov + projected Dec,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2016,732870,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2017,129082,incomplete,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2018,1272520,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2019,1292043,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2020,1293222,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2021,1273351,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2022,1230154,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2023,1167473,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2024,1175758,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
2025,866430,,"sourced: PRR C264029 SAS_Licensing_Data_2014-25_revenue.xlsx; dog-license General Fund revenue; funds the whole Animal Shelter, not OLAs"
