park_name,latitude,longitude,has_ola,neighborhood,notes,provenance
Discovery Park,47.6564,-122.4063,no,Magnolia,534-acre natural area; no designated OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Magnuson Park,47.6809,-122.2574,yes,Sand Point,9.0-acre OLA (largest in city),sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Volunteer Park,47.6302,-122.3157,no,Capitol Hill,No OLA; nearest is Plymouth Pillars (0.15 ac),sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Woodland Park,47.6722,-122.3322,partial,Green Lake,Lower Woodland has 0.75-acre OLA in larger park,sourced: manual geocode
Golden Gardens Park,47.6911,-122.4034,yes,Ballard,1.0-acre OLA in upper portion,sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Cal Anderson Park,47.6178,-122.3202,no,Capitol Hill,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Genesee Park,47.56395,-122.27608,yes,Columbia City,2.7-acre OLA (Genesee Park and Playfield); coord reconciled to SPR ArcGIS April 2026,sourced: coord from SPR ArcGIS FeatureServer (2026-04)
Lincoln Park,47.5300,-122.3936,no,West Seattle,No OLA; West Seattle Stadium OLA opens fall 2026,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Martha Washington Park,47.5347,-122.2567,no,Rainier Beach,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Green Lake Park,47.6805,-122.3290,no,Green Lake,No OLA at Green Lake itself,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Wallingford Playfield,47.6578,-122.3337,no,Wallingford,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Seward Park,47.5526,-122.2558,no,Seward Park,No OLA; 300-acre peninsular forest,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Westcrest Park,47.52578,-122.34172,yes,Highland Park,8.4-acre OLA (second largest); coord reconciled to SPR ArcGIS April 2026 (prior value was ~1.17 km west — likely data-entry error),sourced: coord from SPR ArcGIS FeatureServer (2026-04)
West Queen Anne Playfield,47.6359,-122.3656,no,Queen Anne,No OLA; Kinnear (0.1 ac) is nearest,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Maple Leaf Reservoir Park,47.6912,-122.3198,no,Maple Leaf,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Rogers Playground,47.6431,-122.3240,no,Eastlake,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Soundview Playfield,47.6869,-122.3715,no,Crown Hill,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Alki Beach Park,47.5762,-122.4047,no,Alki,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Ravenna Park,47.6697,-122.3057,planned,Ravenna,Design-only funded for Cycle 2 OLA,sourced: manual geocode
Meridian Playground,47.6571,-122.3342,no,Wallingford,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Ballard Playground,47.6687,-122.3852,no,Ballard,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Gas Works Park,47.6456,-122.3344,no,Wallingford,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Matthews Beach Park,47.6986,-122.2684,no,Matthews Beach,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Madrona Park,47.6083,-122.2886,no,Madrona,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Kerry Park,47.6294,-122.3599,no,Queen Anne,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Dr. Jose Rizal Park,47.5886,-122.3190,yes,Beacon Hill,4.0-acre OLA,sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Kinnear Park,47.6295,-122.3683,yes,Queen Anne,0.124-acre OLA (smallest in city),sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Denny Park,47.6186,-122.3369,yes,South Lake Union,0.105-acre park with tiny OLA,sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Plymouth Pillars,47.6145,-122.3236,yes,Capitol Hill,0.2-acre OLA,sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Regrade,47.6154,-122.3416,yes,Belltown,0.3-acre OLA,sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Blue Dog Pond,47.5904,-122.2931,yes,Mt. Baker,1.7-acre OLA (within Sam Smith Park),sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Northacres Park,47.7208,-122.3247,yes,Pinehurst,1.4-acre OLA,sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
I-5 Colonnade,47.6486,-122.3228,yes,Eastlake,0.5-acre OLA under I-5,sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Magnolia Manor,47.6580,-122.3991,yes,Magnolia,0.48-acre OLA,sourced: park centroid approximation; OLA-host parks may differ slightly from the SPR ArcGIS OLA point (see seattle-olas.csv)
Madison Park,47.6361,-122.2797,no,Madison Park,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Laurelhurst Playfield,47.6625,-122.2770,no,Laurelhurst,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Cowen Park,47.6721,-122.3110,no,Ravenna,No OLA (adjacent to Ravenna Park),sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Hiawatha Playfield,47.5785,-122.3849,no,West Seattle,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Gilman Playground,47.6756,-122.3876,no,Ballard,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Hamilton Viewpoint Park,47.5846,-122.3792,no,West Seattle,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Me-Kwa-Mooks Park,47.5607,-122.4030,no,West Seattle,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Yesler Playfield,47.6061,-122.3148,no,Yesler Terrace,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Cascade Playground,47.6202,-122.3309,no,South Lake Union,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
Montlake Playground,47.6437,-122.3038,no,Montlake,No OLA,sourced: park centroid approximation from Seattle GIS / manual geocode (pre-2024)
