city,population,parkland_acres,pct_city_area,dog_parks,dog_parks_per_100k_tpl,investment_per_capita,parkscore_rank,ola_acres_total_est,ola_acres_per_10k,counting_methodology,population_estimate_year,metric_reference_year,provenance,note_on_per_100k
Seattle WA,816600,6662,12.6,14,1.82,418,8,30.7,0.38,All fenced dedicated,2025,2025,pop: WA OFM Apr 1 2025; parks+per_100K: TPL 2025 ParkScore (uses their reference pop ~769K); OLA acres: reconciled to SPR ArcGIS Apr 2026,"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Portland OR,660000,13029,15.8,38,5.74,274,9,85,1.29,Mostly unfenced voice control,2023,2025,pop: Census ACS 2023 estimate; TPL 2025 ParkScore for parks metrics; acres: Portland PP&R sums (unfenced voice-control included - apples-to-apples caveat),"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
San Francisco CA,870000,6398,21.4,42,5.03,561,6,120,1.38,Mix fenced and unfenced,2023,2025,pop: Census ACS 2023; TPL 2025 ParkScore; acres: SF Rec&Parks (DPAs include carved sections of larger parks),"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Vancouver BC,662000,7413,11.2,36,5.44,,,168,2.54,Mostly time-restricted shared,2021,2025,pop: Statistics Canada 2021 census + growth est; TPL does not cover; acres: Vancouver Park Board (includes time-restricted shared-use),"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Austin TX,1025000,18437,9.0,13,1.28,211,54,80,0.78,Mix (excl. outlier Red Bud Isle),2023,2025,pop: Census ACS 2023; TPL 2025 ParkScore; acres: adjusted (excludes Red Bud Isle 293-acre outlier),"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Boise ID,240000,3400,10.4,18,7.60,,,,,National best-in-class dog parks,2023,2025,pop: Census ACS 2023; TPL not listed in top-100 dataset consistently; parks metric from Boise P&R self-reported,"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Washington DC,699000,8151,21.5,16,2.29,393,1,,,,2023,2025,pop: Census ACS 2023; TPL 2025 ParkScore; dog_parks count reconciled to 16 per dpr.dc.gov/page/dog-parks-00 (2026-04),"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Minneapolis MN,435000,6739,15.9,9,2.07,254,3,,,,2023,2025,pop: Census ACS 2023; TPL 2025 ParkScore; dog_parks count reconciled to 9 off-leash dog parks per minneapolisparks.org (2026-04),"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Cincinnati OH,311000,5200,10.9,4,1.29,242,4,,,,2023,2025,pop: Census ACS 2023; TPL 2025 ParkScore,"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Denver CO,713000,6200,7.8,13,1.82,196,10,,,,2023,2025,pop: Census ACS 2023; TPL 2025 ParkScore,"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Chicago IL,2660000,12000,8.9,14,0.53,168,11,,,,2023,2025,pop: Census ACS 2023; TPL 2025 ParkScore,"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Boston MA,670000,5100,16.3,5,0.75,300,12,,,,2023,2025,pop: Census ACS 2023; TPL 2025 ParkScore,"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
Arlington VA,236000,1800,11.0,9,3.81,449,7,,,,2023,2025,pop: Census ACS 2023 (county); TPL 2025 ParkScore,"as-reported by TPL ParkScore 2025; uses TPL-specific reference population, not the `population` column in this row (see population_estimate_year). Recomputing dog_parks/(population/100k) will give a slightly different number because the two use different denominators."
