"Service Request Number","Service Request Type","City Department","Created Date","Method Received","Status","Location","X_Value","Y_Value","Latitude","Longitude","Latitude/Longitude","ZIP Code","Council District","Police Precinct","Community Reporting Area"
"24-00089626","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/11/2024 04:51:02 PM","Citizen Web Intake App","Closed","9201 15TH AVE NW, SEATTLE, WA 98117","1260155.07290324","257968.808775188","47.69675145","-122.37760191","POINT (-122.37760191 47.69675145)","98117","5","NORTH",
"24-00080783","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/02/2024 08:20:13 AM","Find It Fix It Apps","Closed","8649 SEAVIEW AVE NW, SEATTLE, WA 98117","1253720.5820783","256612.288016976","47.6926764","-122.40361324","POINT (-122.40361324 47.6926764)","98117","6","NORTH",
"24-00080922","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/02/2024 09:26:47 AM","Find It Fix It Apps","Closed","801 29TH AVE E, SEATTLE, WA 98112","1279901.10707426","231796.100851124","47.62607034","-122.29541264","POINT (-122.29541264 47.62607034)","98112","3","EAST",
"24-00081101","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/02/2024 11:05:26 AM","Find It Fix It Apps","Closed","4301 8TH AVE NW, SEATTLE, WA 98107","1262603.00092835","244389.1702732","47.65966471","-122.36656477","POINT (-122.36656477 47.65966471)","98107","6","NORTH",
"24-00081515","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/02/2024 02:59:15 PM","Find It Fix It Apps","Closed","4022 FREMONT AVE N, SEATTLE, WA 98103","1266805.00043515","243011.639972137","47.65611718","-122.34940667","POINT (-122.34940667 47.65611718)","98103","6","NORTH",
"24-00082748","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/03/2024 05:28:18 PM","Find It Fix It Apps","Closed","5307 GREEN LAKE WAY N, SEATTLE, WA 98103","1269045.5811047","247111.063870215","47.66747418","-122.34064276","POINT (-122.34064276 47.66747418)","98103","6","NORTH",
"24-00082942","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/04/2024 06:16:09 AM","Find It Fix It Apps","Closed","4263 NE 73RD ST, SEATTLE, WA 98115","1283830.15928773","251889.568633594","47.68135008","-122.28101482","POINT (-122.28101482 47.68135008)","98115","4","NORTH",
"24-00083032","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/04/2024 08:17:04 AM","Find It Fix It Apps","Closed","732 OREGON AVE, SEATTLE, WA 98199","1250763.66666905","243269.024474105","47.65593775","-122.41450408","POINT (-122.41450408 47.65593775)","98199","6","WEST",
"24-00083061","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/04/2024 08:37:13 AM","Find It Fix It Apps","Closed","301 NW 41ST ST, SEATTLE, WA 98107","1263928.37560854","243302.062141729","47.65675726","-122.36110002","POINT (-122.36110002 47.65675726)","98107","6","NORTH",
"24-00083308","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/04/2024 11:21:29 AM","Citizen Web Intake App","Closed","1831 E MADISON ST, SEATTLE, WA 98122","1276820.32803132","228354.661213941","47.61647626","-122.30763642","POINT (-122.30763642 47.61647626)","98122","3","EAST",
"24-00087753","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/09/2024 06:15:44 PM","Find It Fix It Apps","Closed","8501 14TH AVE NE, SEATTLE, WA 98115","1275853.46036219","255346.00888208","47.69040815","-122.31366088","POINT (-122.31366088 47.69040815)","98115","5","NORTH",
