ola_name,latitude,longitude,acres,neighborhood,year_opened,fenced,small_dog_area,safety_notes
Magnuson Park,47.6809,-122.2574,9.0,Sand Point,1998,partial,yes,None
Westcrest,47.5262,-122.3574,8.4,Highland Park,1999,yes,yes,None
Dr. Jose Rizal,47.5886,-122.3190,4.0,Beacon Hill,2002,yes,no,Adjacent to I-90 greenbelt encampment
Genesee,47.5599,-122.2688,2.7,Columbia City,2005,yes,yes,None
Blue Dog Pond,47.5904,-122.2931,1.7,Mt. Baker,2009,yes,no,None direct
Northacres,47.7208,-122.3247,1.4,Pinehurst,2004,yes,no,None
Golden Gardens,47.6911,-122.4034,1.0,Ballard,2003,yes,yes,None
Lower Woodland,47.6706,-122.3358,0.75,Green Lake,2001,yes,no,None
I-5 Colonnade,47.6486,-122.3228,0.5,Eastlake,2008,partial,no,Under highway sheltered encampment area
Magnolia Manor,47.6580,-122.3991,0.48,Magnolia,2009,yes,yes,None
Regrade,47.6154,-122.3416,0.3,Belltown,2000,yes,no,High visibility safety issues in Belltown
Plymouth Pillars,47.6145,-122.3236,0.2,Capitol Hill,2001,yes,no,Chronic encampment adjacent
Kinnear,47.6295,-122.3683,0.124,Queen Anne,1997,yes,no,Chronic encampment 20-year history
Denny Park,47.6186,-122.3369,0.105,South Lake Union,2000,yes,no,Adjacent to SLU public safety issues
