zip_code,active_dog_licenses
98115,2597
98103,2179
98117,1860
98125,1514
98118,1483
98122,1348
98107,1163
98199,1149
98144,1145
98116,1139
98105,1112
98126,983
98112,932
98106,904
98119,870
98133,834
98109,827
98136,827
98102,782
98108,594
98177,459
98121,387
98104,299
98101,299
98146,298
98178,241
98168,29
98155,28
98134,14
98166,12
98040,11
98507,11
98198,7
98056,6
98033,6
98188,6
98028,6
98053,5
98031,5
98034,5
98164,5
98052,5
98057,5
98027,5
98139,4
98029,4
98030,4
98005,4
98111,4
98003,4
98004,4
98055,4
98058,4
98026,3
98203,3
98250,3
98127,3
98070,3
98113,3
98007,3
98270,2
55901,2
98092,2
98258,2
98260,2
98023,2
98036,2
85013,2
98662,2
98024,2
98074,2
85308,2
98012,2
98075,2
98158,2
98124,2
98175,2
98204,2
98445,2
98147,1
98346,1
63775,1
98148,1
98011,1
99336,1
98132,1
98201,1
98387,1
98185,1
98580,1
98138,1
99224,1
98039,1
98038,1
84070,1
34953,1
99816,1
33704,1
38555,1
98405,1
97801,1
98195,1
98019,1
63301,1
98065,1
98391,1
98021,1
98229,1
91809,1
98059,1
98043,1
92056,1
98251,1
98002,1
98901,1
98502,1
98926,1
98145,1
98499,1
98202,1
92571,1
98006,1
85234,1
98037,1
98114,1
8807,1
99166,1
91821,1
95354,1
98725,1
91739,1
98375,1
98032,1
98042,1
98016,1
99163,1
98008,1
94501,1
