primary_breed,count,share_of_licensed_dogs
"Retriever, Labrador",2452,9.20%
"Chihuahua, Short Coat",1367,5.13%
"Retriever, Golden",1336,5.01%
German Shepherd,926,3.47%
"Poodle, Miniature",847,3.18%
"Mixed Breed, Medium (up to 44 lbs fully grown)",845,3.17%
"Poodle, Standard",815,3.06%
"Mixed Breed, Large (over 44 lbs fully grown)",697,2.62%
Terrier,677,2.54%
"Terrier, American Pit Bull",645,2.42%
Australian Shepherd,637,2.39%
Border Collie,615,2.31%
Australian Cattle Dog,608,2.28%
Siberian Husky,519,1.95%
Mix,467,1.75%
Retriever,415,1.56%
"Welsh Corgi, Pembroke",380,1.43%
"Mixed Breed, Small (under 24 lbs fully grown)",374,1.40%
Havanese,343,1.29%
Shih Tzu,343,1.29%
"Bulldog, French",333,1.25%
Boxer,306,1.15%
"Australian Shepherd, Miniature",303,1.14%
Bernese Mountain Dog,292,1.10%
Maltese,288,1.08%
Pug,283,1.06%
Shepherd,281,1.05%
"Terrier, Yorkshire",278,1.04%
Beagle,275,1.03%
"Spaniel, Cavalier King Charles",269,1.01%
Pomeranian,259,0.97%
"Schnauzer, Miniature",255,0.96%
"Terrier, Pit Bull",247,0.93%
"Terrier, American Staffordshire",225,0.84%
"Chihuahua, Long Coat",222,0.83%
"Terrier, Boston",207,0.78%
Shiba Inu,196,0.74%
"Terrier, Jack Russell",185,0.69%
Alaskan Husky,182,0.68%
"Poodle, Toy",162,0.61%
"Dachshund, Miniature Smooth Haired",159,0.60%
"Dachshund, Standard Smooth Haired",158,0.59%
Great Pyrenees,157,0.59%
Hound,147,0.55%
"Spaniel, American Cocker",142,0.53%
"Terrier, Rat",135,0.51%
"Dachshund, Miniature Long Haired",124,0.47%
Bichon Frise,119,0.45%
"Pointer, German Shorthaired",116,0.44%
"Spaniel, English Springer",115,0.43%
Doberman Pinscher,115,0.43%
Greyhound,109,0.41%
Miniature Pinscher,103,0.39%
"Vizsla, Smooth Haired",102,0.38%
"Welsh Corgi, Cardigan",99,0.37%
Rottweiler,95,0.36%
Catahoula Leopard dog,92,0.35%
"Terrier, West Highland White",92,0.35%
Great Dane,88,0.33%
"Terrier, Staffordshire Bull",84,0.32%
Belgian Malinois,84,0.32%
Portuguese Water Dog,82,0.31%
Korean Jindo,78,0.29%
Rhodesian Ridgeback,78,0.29%
"Terrier, Soft Coated Wheaten",77,0.29%
Lagotto Romagnolo,72,0.27%
Spaniel,72,0.27%
"Terrier, Cairn",72,0.27%
Brittany,69,0.26%
"Bulldog, American",69,0.26%
Shetland Sheepdog,67,0.25%
Old English Sheepdog,65,0.24%
Samoyed,64,0.24%
Basset Hound,62,0.23%
"Bulldog, English",62,0.23%
Pointer,61,0.23%
Alaskan Malamute,60,0.23%
Basenji,60,0.23%
Lhasa Apso,59,0.22%
"Schnauzer, Standard",58,0.22%
Whippet,57,0.21%
"Terrier, Border",57,0.21%
"Cur, Black-Mouth",54,0.20%
American Blue Heeler,53,0.20%
Papillon,53,0.20%
Chow Chow,52,0.20%
Weimaraner,51,0.19%
Australian Kelpie,50,0.19%
"Retriever, Flat-Coated",48,0.18%
"Spaniel, English Cocker",46,0.17%
Mastiff,45,0.17%
Xoloitzcuintli,44,0.17%
Coton de Tulear,44,0.17%
Newfoundland,44,0.17%
Dalmatian,41,0.15%
American Eskimo,40,0.15%
"Griffon, Wirehaired Pointing",36,0.14%
Akita,36,0.14%
"Terrier, Airedale",36,0.14%
"Terrier, Scottish",35,0.13%
Italian Greyhound,35,0.13%
Bulldog,35,0.13%
Saint Bernard,34,0.13%
Pekingese,33,0.12%
"Terrier, Tibetan",33,0.12%
Alaskan Klee Kai,33,0.12%
Bully American  - Standard,33,0.12%
"Dachshund, Standard Long Haired",32,0.12%
Chinese Shar-Pei,32,0.12%
"Retriever, Nova Scotia Duck Tolling",32,0.12%
Anatolian Shepherd,31,0.12%
Carolina Dog,30,0.11%
"Collie, Rough",30,0.11%
"German Shepherd, King",29,0.11%
"Collie, Smooth",28,0.11%
"Retriever, Chesapeake Bay",27,0.10%
"Terrier, Fox, Wire",25,0.09%
Plott Hound,25,0.09%
"Terrier, Bull",25,0.09%
"Setter, Irish",24,0.09%
Coonhound,24,0.09%
"Dachshund, Standard Wire Haired",23,0.09%
"Coonhound, Treeing Walker",23,0.09%
Dutch Shepherd,23,0.09%
English Shepherd,22,0.08%
Cane Corso,22,0.08%
"Dachshund, Miniature Wire Haired",21,0.08%
"Setter, English",19,0.07%
"Terrier, Silky",18,0.07%
"Pointer, German Wirehaired",18,0.07%
Keeshond,18,0.07%
"Griffon, Brussels",18,0.07%
"Retriever, Curly Coated",17,0.06%
"Terrier, Irish",17,0.06%
Schipperke,17,0.06%
"Terrier, Parson Russell",16,0.06%
Bouvier des Flandres,16,0.06%
"Terrier, English Staffordshire",15,0.06%
"Terrier, Norwich",15,0.06%
"Terrier, Welsh",15,0.06%
Belgian Tervuren,14,0.05%
"Terrier, Russell",14,0.05%
Leonberger,14,0.05%
Chinese Crested,13,0.05%
"Terrier, Fox, Toy",13,0.05%
"Coonhound, Black and Tan",13,0.05%
White Swiss Shepherd (Berger Blanc Suisse),13,0.05%
Greater Swiss Mountain Dog,12,0.05%
"Spaniel, Tibetan",12,0.05%
Norwegian Elkhound,12,0.05%
"Terrier, Manchester",12,0.05%
Bloodhound,12,0.05%
Japanese Chin,12,0.05%
"Spaniel, Welsh Springer",11,0.04%
"Foxhound, American",11,0.04%
Olde English Bulldogge,11,0.04%
Taiwan Dog,11,0.04%
"Coonhound, Bluetick",10,0.04%
Japanese Spitz,10,0.04%
Bullmastiff,10,0.04%
"Terrier, Norfolk",10,0.04%
Irish Wolfhound,10,0.04%
"Terrier, Australian",9,0.03%
Silken Windhound,9,0.03%
Icelandic Sheepdog,8,0.03%
McNab Herding Dog,8,0.03%
Eurasier,8,0.03%
English Mastiff,8,0.03%
German Pinscher,8,0.03%
Pudelpointer,8,0.03%
Bully American - Pocket,7,0.03%
"Coonhound, Redbone",7,0.03%
Ibizan Hound,7,0.03%
Entlebucher Mountain Dog,7,0.03%
"Cur, Mountain",7,0.03%
Belgian Sheepdog,7,0.03%
Saluki,7,0.03%
"Terrier, Fox, Smooth",7,0.03%
"Brittany, French",7,0.03%
Chinook,6,0.02%
"Setter, Gordon",6,0.02%
Lacy,6,0.02%
Bully American - XL,6,0.02%
"Terrier, Lakeland",6,0.02%
Barbet,6,0.02%
"Terrier, Glen of Imaal",5,0.02%
Canaan,5,0.02%
"Terrier, Miniature Bull",5,0.02%
"Terrier, Kerry Blue",5,0.02%
"Coonhound, American English",5,0.02%
Karelian Bear Dog,5,0.02%
"Terrier, Sealyham",5,0.02%
Pharaoh Hound,5,0.02%
"Schnauzer, Giant",5,0.02%
Mexican Hairless,4,0.02%
Briard,4,0.02%
Puli,4,0.02%
