year,population,olas,residents_per_ola,spr_budget_all_funds_m,ola_only_budget_k,ola_ppatch_combined_k,park_district_cycle,notes,provenance
2000,563375,,,,,,,Census,sourced: 2000 US Census decennial (population); OLA count from SPR inventory
2010,608660,11,55333,,,,,"Census; 11 OLAs per SPR 2017 plan (Denny, Magnolia Manor, Kinnear added 2012-13)","sourced: 2010 US Census decennial (population); OLA count = 11 per SPR People, Dogs & Parks Plan (Aug 2017) p.12 and the 2011 SPR study of ""the 11 off-leash areas in existence at the time"""
2016,704400,14,50314,156,106,,Cycle 1,$100K/yr for OLAs,"sourced: population: WA OFM annual estimate; OLAs: SPR inventory; budget: OLA-only $100,000/yr, SPR public statement (Cycle 1) — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
2017,724745,14,51768,163,106,,Cycle 1,Operating budget only,"sourced: population: WA OFM annual estimate; OLAs: SPR inventory; budget: OLA-only $100,000/yr, SPR public statement (Cycle 1) — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
2018,739500,14,52821,168,106,,Cycle 1,User original reference year,"sourced: population: WA OFM annual estimate; OLAs: SPR inventory; budget: OLA-only $100,000/yr, SPR public statement (Cycle 1) — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
2019,753700,14,53836,247.7,,160.8,Cycle 1,All-funds; Maintaining Parks & Facilities BSL,"sourced: population: WA OFM annual estimate; OLAs: SPR inventory; budget: combined OLA+P-Patch (BSL BC-PR-50000), NOT OLA-only, Seattle 2019 actuals all-funds book — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
2020,737015,14,52644,261.9,,338.0,Cycle 1,Census; COVID impact begins,"sourced: 2020 US Census decennial (population); OLA count from SPR inventory; budget: combined OLA+P-Patch (BC-PR-50000), Seattle 2020 adopted budget book — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
2021,733400,14,52386,228.1,,322.912,Cycle 1,COVID-reduced budget,"sourced: population: WA OFM annual estimate; OLAs: SPR inventory; budget: combined OLA+P-Patch (BC-PR-50000) = 2021 ACTUAL $322,912, 2023-Adopted budget book (PRR C265589) — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
2022,762000,14,54429,287.7,,355.347,Cycle 1,Approximate interpolation,"interpolated/approximate: 2022 population (noted in notes column); budget: combined OLA+P-Patch (BC-PR-50000) $355,347 + SPR total $287.7M, 2022 ADOPTED, 2023-Adopted budget book (PRR C265589) — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
2023,779200,14,55657,328.2,328.345,569.561,Cycle 2,Park District Cycle 2 begins,"sourced: population: WA OFM annual estimate; OLAs: SPR inventory; budget: combined OLA+P-Patch (BC-PR-50000) = 2023 ADOPTED $569,561, 2023-Adopted budget book (PRR C265589) — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
2024,797700,14,56979,320.7,333.478,584.343,Cycle 2,OFM April 1,"sourced: WA OFM April 1 population estimate; OLA count from SPR inventory; budget: combined OLA+P-Patch (BC-PR-50000) = 2024 ENDORSED $584,343, 2024-Endorsed budget book (PRR C265589) — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
2025,816600,14,58329,339.4,1568.818,1829.7,Cycle 2,"Cycle 2 OLA capital is the $3,103,000 two-OLA construction line per SPR project pages, booked INSIDE BC-PR-50000 within MC-PR-51002, not beside it (PRR C264837)","sourced: population: WA OFM annual estimate; OLAs: SPR inventory; budget: combined OLA+P-Patch (BC-PR-50000), Seattle 2025-26 proposed budget book — see data/budget-detail.csv | budget columns split September 2026: the single ola_improvement_budget_k held OLA-only for 2016-2018 and the COMBINED OLA+P-Patch BSL from 2019 on, under a name that read as OLA-only for every year. ola_only_budget_k now mirrors data/budget-detail.csv:ola_only_k (a cache of data/ola-ppatch-master-projects.csv for 2023+); ola_ppatch_combined_k is the BC-PR-50000 joint line."
