ola,distance,area_sqkm,center_lat,center_lng
Magnuson Park,0.5mi,1.132,47.6827,-122.2571
Magnuson Park,1.0mi,3.289,47.6827,-122.2571
Magnuson Park,2.5mi,16.275,47.6827,-122.2571
Westcrest,0.5mi,0.765,47.52578,-122.34172
Westcrest,1.0mi,2.182,47.52578,-122.34172
Westcrest,2.5mi,13.37,47.52578,-122.34172
Dr. Jose Rizal,0.5mi,0.78,47.59386,-122.31809
Dr. Jose Rizal,1.0mi,4.04,47.59386,-122.31809
Dr. Jose Rizal,2.5mi,28.974,47.59386,-122.31809
Genesee,0.5mi,1.496,47.56395,-122.27608
Genesee,1.0mi,4.431,47.56395,-122.27608
Genesee,2.5mi,25.214,47.56395,-122.27608
Blue Dog Pond,0.5mi,1.444,47.58889,-122.29863
Blue Dog Pond,1.0mi,5.283,47.58889,-122.29863
Blue Dog Pond,2.5mi,29.34,47.58889,-122.29863
Northacres,0.5mi,1.294,47.72178,-122.32612
Northacres,1.0mi,5.474,47.72178,-122.32612
Northacres,2.5mi,25.843,47.72178,-122.32612
Golden Gardens,0.5mi,1.002,47.6909,-122.40064
Golden Gardens,1.0mi,3.388,47.6909,-122.40064
Golden Gardens,2.5mi,15.656,47.6909,-122.40064
Lower Woodland,0.5mi,1.292,47.67042,-122.34431
Lower Woodland,1.0mi,5.791,47.67042,-122.34431
Lower Woodland,2.5mi,35.264,47.67042,-122.34431
I-5 Colonnade,0.5mi,1.256,47.63483,-122.32376
I-5 Colonnade,1.0mi,4.629,47.63483,-122.32376
I-5 Colonnade,2.5mi,29.832,47.63483,-122.32376
Magnolia Manor,0.5mi,1.563,47.65155,-122.39198
Magnolia Manor,1.0mi,5.366,47.65155,-122.39198
Magnolia Manor,2.5mi,22.636,47.65155,-122.39198
Regrade,0.5mi,1.585,47.61435,-122.34478
Regrade,1.0mi,4.912,47.61435,-122.34478
Regrade,2.5mi,30.032,47.61435,-122.34478
Plymouth Pillars,0.5mi,1.873,47.61434,-122.32895
Plymouth Pillars,1.0mi,6.64,47.61434,-122.32895
Plymouth Pillars,2.5mi,34.949,47.61434,-122.32895
Kinnear,0.5mi,1.169,47.62696,-122.36766
Kinnear,1.0mi,4.358,47.62696,-122.36766
Kinnear,2.5mi,25.121,47.62696,-122.36766
Denny Park,0.5mi,1.765,47.61937,-122.34108
Denny Park,1.0mi,5.972,47.61937,-122.34108
Denny Park,2.5mi,32.358,47.61937,-122.34108
__UNION_ALL_OLAS__,0.5mi,17.12,,
__UNION_ALL_OLAS__,1.0mi,53.661,,
__UNION_ALL_OLAS__,2.5mi,177.239,,
