year,spr_total_budget_m,spr_total_budget_source,ola_ppatch_combined_k,ola_only_k,ola_only_source,cycle,notes,provenance
2016,156,Seattle 2016 adopted budget book,,106,"2017 People, Dogs & Parks Plan p.19 Cost of Services ($106,000 annually through 2020; pp. 3,5 give the range $103,000-$117,000)",Cycle 1,OLA and maintaining-parks BSL aligned in Cycle 1 — public statement of $100K/yr OLA-only,"sourced: OLA-only from SPR public statement or Parkways coverage; SPR total from budget book | ola_only_k is a declared CACHE, not an owner: 2023-2026 are copied from data/ola-ppatch-master-projects.csv (MC-PR-51002 adopted_budget_usd / 1000), 2016-2018 from the 2017 People, Dogs & Parks Plan. Refresh path: re-copy from that CSV when a later PRR extends it. 2019-2022 are blank because no OLA-only record exists for those years. | ola_ppatch_combined_k is blank for 2016-2018 on purpose: the Maintaining Parks & Facilities BSL was not reported as a joint OLA+P-Patch line until 2019. It previously held the OLA-only figure, which double-counted one number as two series."
2017,163,Seattle 2017 adopted budget book,,106,"2017 People, Dogs & Parks Plan p.19 Cost of Services ($106,000 annually through 2020; pp. 3,5 give the range $103,000-$117,000)",Cycle 1,Operating-only figure for SPR total,"sourced: OLA-only from SPR public statement or Parkways coverage; SPR total from budget book | ola_only_k is a declared CACHE, not an owner: 2023-2026 are copied from data/ola-ppatch-master-projects.csv (MC-PR-51002 adopted_budget_usd / 1000), 2016-2018 from the 2017 People, Dogs & Parks Plan. Refresh path: re-copy from that CSV when a later PRR extends it. 2019-2022 are blank because no OLA-only record exists for those years. | ola_ppatch_combined_k is blank for 2016-2018 on purpose: the Maintaining Parks & Facilities BSL was not reported as a joint OLA+P-Patch line until 2019. It previously held the OLA-only figure, which double-counted one number as two series."
2018,168,Seattle 2018 adopted budget book,,106,"2017 People, Dogs & Parks Plan p.19 Cost of Services ($106,000 annually through 2020; pp. 3,5 give the range $103,000-$117,000)",Cycle 1,$168M SPR total widely cited for 2018,"sourced: OLA-only from SPR public statement or Parkways coverage; SPR total from budget book | ola_only_k is a declared CACHE, not an owner: 2023-2026 are copied from data/ola-ppatch-master-projects.csv (MC-PR-51002 adopted_budget_usd / 1000), 2016-2018 from the 2017 People, Dogs & Parks Plan. Refresh path: re-copy from that CSV when a later PRR extends it. 2019-2022 are blank because no OLA-only record exists for those years. | ola_ppatch_combined_k is blank for 2016-2018 on purpose: the Maintaining Parks & Facilities BSL was not reported as a joint OLA+P-Patch line until 2019. It previously held the OLA-only figure, which double-counted one number as two series."
2019,247.7,Seattle 2019 actuals (all funds),160.8,,,Cycle 1,Combined OLA+P-Patch Maintaining Parks BSL begins to be reported jointly,sourced: SPR total from budget book; OLA+P-Patch combined from Maintaining Parks & Facilities BSL; OLA-only split not published post-2018
2020,261.9,Seattle 2020 adopted budget,338.0,,,Cycle 1,Combined only — OLA/P-Patch split not broken out,sourced: SPR total from budget book; OLA+P-Patch combined from Maintaining Parks & Facilities BSL; OLA-only split not published post-2018
2021,228.1,Seattle 2021 proposed budget,322.912,,,Cycle 1,COVID-reduced SPR budget,"combined OLA+P-Patch (BC-PR-50000) = 2021 ACTUAL $322,912, 2023-Adopted budget book (PRR C265589); supersedes earlier 2021-proposed $346.7K"
2022,287.7,"Seattle 2023-Adopted/2024-Endorsed budget book (PRR C265589), 2022 Adopted column",355.347,,,Cycle 1,"2022 OLA+P-Patch (BC-PR-50000) $355,347 and SPR total $287.7M now available from the 2023-Adopted budget book (PRR C265589); fills prior gap","combined OLA+P-Patch (BC-PR-50000) = 2022 ADOPTED $355,347; SPR total = 2022 ADOPTED $287.7M; both from 2023-Adopted/2024-Endorsed budget book (PRR C265589)"
2023,328.2,Seattle 2023-24 proposed budget,569.561,328.345,PRR C264837 - MC-PR-51002 adopted budget,Cycle 2,OLA-only portion reported as $126K for Cycle 2 year 1,"combined OLA+P-Patch (BC-PR-50000) = 2023 ADOPTED $569,561, 2023-Adopted budget book (PRR C265589); supersedes earlier 2023-proposed $475.1K; ola_only_k here is secondary reporting with no findable source and is SUPERSEDED by data/ola-ppatch-master-projects.csv (PRR C264837: MC-PR-51002 adopted $328,345), which is the owner of OLA-only figures from 2023 on; left uncorrected pending the site edit it forces (see C264837-PRR-AUDIT.md) | ola_only_k is a declared CACHE, not an owner: 2023-2026 are copied from data/ola-ppatch-master-projects.csv (MC-PR-51002 adopted_budget_usd / 1000), 2016-2018 from the 2017 People, Dogs & Parks Plan. Refresh path: re-copy from that CSV when a later PRR extends it. 2019-2022 are blank because no OLA-only record exists for those years."
2024,320.7,Seattle 2023-24 proposed budget,584.343,333.478,PRR C264837 - MC-PR-51002 adopted budget,Cycle 2,Cycle 2 one-time capital begins (total $3.46M across 2024-2026 for 2 new OLAs + design of third),"combined OLA+P-Patch (BC-PR-50000) = 2024 ENDORSED $584,343, 2024-Endorsed budget book (PRR C265589); supersedes earlier 2024-proposed $614.3K; ola_only_k here is secondary reporting with no findable source and is SUPERSEDED by data/ola-ppatch-master-projects.csv (PRR C264837: MC-PR-51002 adopted $333,478), which is the owner of OLA-only figures from 2023 on; left uncorrected pending the site edit it forces (see C264837-PRR-AUDIT.md); the $30,000 gap to that PRR's 2024 ADOPTED $614,343 is an adopted-vs-endorsed vintage difference, not an error | ola_only_k is a declared CACHE, not an owner: 2023-2026 are copied from data/ola-ppatch-master-projects.csv (MC-PR-51002 adopted_budget_usd / 1000), 2016-2018 from the 2017 People, Dogs & Parks Plan. Refresh path: re-copy from that CSV when a later PRR extends it. 2019-2022 are blank because no OLA-only record exists for those years."
2025,339.4,Seattle 2025-26 proposed budget,1829.7,1568.818,PRR C264837 - MC-PR-51002 adopted budget,Cycle 2,OLA/P-Patch combined BSL jumps to $1.83M — OLA-only portion not broken out post-2024,"combined OLA+P-Patch (BC-PR-50000) = $1.83M from Seattle 2025-26 PROPOSED budget book; no adopted figure on file yet; OLA-only now available for 2025 (MC-PR-51002 adopted $1,568,818) in data/ola-ppatch-master-projects.csv — PRR C264837 | ola_only_k is a declared CACHE, not an owner: 2023-2026 are copied from data/ola-ppatch-master-projects.csv (MC-PR-51002 adopted_budget_usd / 1000), 2016-2018 from the 2017 People, Dogs & Parks Plan. Refresh path: re-copy from that CSV when a later PRR extends it. 2019-2022 are blank because no OLA-only record exists for those years."
2026,506.9,Seattle 2025-26 proposed budget + 2026-2031 CIP,1845.7,1574.370,PRR C264837 - MC-PR-51002 adopted budget,Cycle 2,SPR $125M GF + $87.7M CIP + $294M Park District,"combined OLA+P-Patch (BC-PR-50000) = $1.85M from Seattle 2025-26 PROPOSED budget + 2026-31 CIP; proposed only; OLA-only now available for 2026 (MC-PR-51002 adopted $1,574,370) in data/ola-ppatch-master-projects.csv — PRR C264837 | ola_only_k is a declared CACHE, not an owner: 2023-2026 are copied from data/ola-ppatch-master-projects.csv (MC-PR-51002 adopted_budget_usd / 1000), 2016-2018 from the 2017 People, Dogs & Parks Plan. Refresh path: re-copy from that CSV when a later PRR extends it. 2019-2022 are blank because no OLA-only record exists for those years."
