ola_name,latitude,longitude,acres,neighborhood,year_opened,fenced,small_dog_area,safety_notes,provenance
Magnuson Park,47.68270,-122.25710,9.0,Sand Point,1999,partial,yes,None,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened = 1999 (permanent designation) per HistoryLink File 2281 and MOLG history; June 15 1996 was the pilot/trial opening
Westcrest,47.52578,-122.34172,8.4,Highland Park,1999,yes,yes,None,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Dr. Jose Rizal,47.59386,-122.31809,4.0,Beacon Hill,2002,yes,no,Adjacent to I-90 greenbelt encampment,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Genesee,47.56395,-122.27608,2.7,Columbia City,2005,yes,yes,None,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Blue Dog Pond,47.58889,-122.29863,1.7,Mt. Baker,2009,yes,no,None direct,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Northacres,47.72178,-122.32612,1.4,Pinehurst,2004,yes,no,None,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Golden Gardens,47.69090,-122.40064,1.0,Ballard,2003,yes,yes,None,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Lower Woodland,47.67042,-122.34431,0.75,Green Lake,2001,yes,no,None,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
I-5 Colonnade,47.63483,-122.32376,0.5,Eastlake,2008,partial,no,Under highway sheltered encampment area,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Magnolia Manor,47.65155,-122.39198,0.48,Magnolia,2009,yes,yes,None,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Regrade,47.61435,-122.34478,0.3,Belltown,2000,yes,no,High visibility safety issues in Belltown,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Plymouth Pillars,47.61434,-122.32895,0.2,Capitol Hill,2001,yes,no,Chronic encampment adjacent,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Kinnear,47.62696,-122.36766,0.124,Queen Anne,1997,yes,no,Chronic encampment 20-year history,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
Denny Park,47.61937,-122.34108,0.105,South Lake Union,2000,yes,no,Adjacent to SLU public safety issues,sourced: coords+acres SPR ArcGIS FeatureServer 2026-04; year_opened from SPR individual OLA pages
