zip_code,active_dog_licenses,ola_acres,ola_host_parks,dogs_per_ola_acre
98115,2597,9.0,Magnuson Park,288.6
98103,2179,0.75,Lower Woodland,2905.3
98117,1860,1.0,Golden Gardens,1860.0
98125,1514,1.4,Northacres,1081.4
98118,1483,2.7,Genesee,549.3
98122,1348,0.0,,
98107,1163,0.0,,
98199,1149,0.48,Magnolia Manor,2393.8
98144,1145,5.7,Dr. Jose Rizal; Blue Dog Pond,200.9
98116,1139,0.0,,
98105,1112,0.0,,
98126,983,0.0,,
98112,932,0.0,,
98106,904,8.4,Westcrest,107.6
98119,870,0.124,Kinnear,7016.1
98133,834,0.0,,
98109,827,0.105,Denny Park,7876.2
98136,827,0.0,,
98102,782,0.5,I-5 Colonnade,1564.0
98108,594,0.0,,
98177,459,0.0,,
98121,387,0.3,Regrade,1290.0
98101,299,0.2,Plymouth Pillars,1495.0
98104,299,0.0,,
98146,298,0.0,,
98178,241,0.0,,
98168,29,0.0,,
98155,28,0.0,,
98134,14,0.0,,
98164,5,0.0,,
98195,1,0.0,,
98154,0,0.0,,
