location_raw,lat,lng,match_quality,census_geoid
10 Raye Street,47.643297679867,-122.356708601352,Exact,L
1000 N 50th Street,47.665103134069,-122.345978782194,Exact,L
10045 49th Avenue NE,47.701436517641,-122.275342867789,Exact,L
1011 183rd Street SE,47.761353688054,-122.345281593535,Non_Exact,R
10145 Rainier Avenue S,47.510978892082,-122.245531581318,Exact,R
1015 N 49th Street,47.664234086176,-122.345795108173,Exact,R
1020 NE 82nd Street,47.688601489647,-122.317265273029,Exact,L
10246 47th Avenue SW,47.511304712765,-122.392198827588,Exact,L
1028 NE 96th Street,47.698617723447,-122.317158659852,Exact,L
10349 SE 187TH Place,,,Nominatim_NoMatch,
1035 NE 71st Street B,47.680106440289,-122.317063619992,Non_Exact,R
10411 2ND Place SW,47.510233491554,-122.335875008493,Exact,R
10423 NE 32nd Place E305,47.704386461994,-122.29419385465,Non_Exact,L
10436 21st Avenue SW,47.509417384331,-122.360381302778,Exact,R
10440 65th Avenue S,47.507782746544,-122.252296300815,Exact,L
1049 NE 92nd Street,47.695774431967,-122.316883795732,Exact,R
1051 S Sullivan Street B,47.527245090492,-122.319514675063,Non_Exact,R
1052 S Donovan Street,47.525665181295,-122.319519466217,Exact,L
10533 35th Avenue NE,47.705214174693,-122.29094969491,Exact,L
10549 Stone Avenue N 301,47.705519413195,-122.342097018148,Non_Exact,L
10550 Lake City Way NE 6,47.706262019943,-122.301543966373,Non_Exact,R
10765 14th Avenue SW,47.506569485965,-122.35254355555,Exact,R
10865 24th Avenue S,47.505808570411,-122.30215861362,Exact,R
1100 SW Cloverdale Street,47.526550281683,-122.349381081247,Exact,R
1103 26th Avenue S,47.592874424108,-122.299144073775,Exact,R
11038 28th Avenue NE,47.708654979497,-122.297844439967,Exact,R
1105 Spring Street 1103,47.61004676114,-122.325637020588,Non_Exact,R
11050 8th Avenue NE 504,47.708992081177,-122.320488598401,Non_Exact,R
11065 22nd Avenue SW,47.503831817892,-122.361303952797,Exact,R
111 20th Avenue S,47.601538369981,-122.306438584704,Exact,R
1112 5th Avenue N,47.629056825608,-122.347451795552,Exact,R
1118 15th Avenue E,47.629089241576,-122.312469537493,Exact,R
1126 36th Avenue,47.611681136668,-122.287009296242,Exact,R
1128 32nd Avenue S,47.593224677711,-122.291471583481,Exact,L
1136 S Albro Place,47.546102460737,-122.316869769164,Exact,L
1138 Olympic Way W,47.629786776345,-122.368703870996,Exact,R
114 24th Avenue E B8,47.619262771908,-122.301093606861,Non_Exact,R
115 W Galer Street 101,47.632257089247,-122.358524326546,Non_Exact,L
1154 15th Avenue E,47.629761270471,-122.312461759221,Exact,R
11544 Greenwood Avenue N 1,47.712778306725,-122.355427502572,Non_Exact,R
1157 N 78th Street,47.685438084831,-122.343638164205,Exact,R
119 NW 41st Street,47.656287087922,-122.357907700892,Exact,L
120 1st Avenue W 503,47.619209120136,-122.357975860222,Non_Exact,R
120 Republican Street 612,47.623326680736,-122.355100461136,Non_Exact,L
1200 E Howe Street,47.636113537735,-122.317255654404,Exact,L
1205 E Olive Street A,47.616372994141,-122.316742417157,Non_Exact,R
12055 28th Avenue NE,47.715993230763,-122.298103713235,Exact,L
1221 Minor Avenue 102,47.611371176106,-122.325566508313,Non_Exact,L
123 N 103rd Street W325,47.703588597512,-122.357530302417,Non_Exact,R
12314 18th Avenue NE,47.71789356038,-122.308762637591,Exact,R
12317 15th Avenue NE 405,47.717793439704,-122.312709460685,Non_Exact,L
12349 36th Avenue NE,47.717819796107,-122.289400866283,Exact,L
124 NE 63rd Street,47.67445175579,-122.327783424784,Exact,L
1249 NE 168th Street,47.750244347249,-122.31493263042,Exact,R
12715 1st Avenue NW,47.721569701869,-122.35833724264,Exact,L
12716 8th Avenue SW,47.489227944471,-122.344430702222,Exact,L
12718 1st Avenue NE,47.721128816659,-122.328861778404,Exact,L
12735 39th Avenue NE,47.721204919862,-122.28641924325,Exact,L
12936 64th Avenue S,47.487431700889,-122.254372384271,Exact,L
130 23rd Avenue E,47.619505509246,-122.302434549543,Exact,R
13000 Admiralty Way L203,,,Nominatim_NoMatch,
1301 W Emerson Street 1,47.653938691877,-122.373719030996,Non_Exact,L
13035 Linden Avenue N,47.723504607756,-122.348189473748,Exact,L
1304 NE 42nd Street 311,47.658380695331,-122.314237294003,Non_Exact,L
1304 S Stevens Street,47.576931678871,-122.315873749165,Exact,L
1317 13th Avenue S,47.591370528465,-122.316073069153,Exact,R
1321 Queen Anne Avenue N 210,47.63064422246,-122.356691326791,Non_Exact,L
1321 W Emerson Street 3,47.653940284159,-122.373945131562,Non_Exact,L
13224 42nd Avenue NE,47.725821557181,-122.282452763478,Exact,R
1323 Boren Avenue #306,47.611698315873,-122.327399580228,Exact,L
13349 37th Avenue S,47.483775854524,-122.286765432878,Exact,R
13407 Greenwood Avenue N 308C,47.726954657754,-122.355641750644,Non_Exact,L
13512 Ashworth Avenue N,47.727339923305,-122.339532771133,Exact,R
13708 10th Avenue S,47.480334170321,-122.32069233907,Exact,L
1401 5TH Avenue W 111,47.631390856439,-122.363196855825,Non_Exact,L
1416 4th Avenue W A,47.631525900172,-122.361721166211,Non_Exact,R
1416 SW Webster Street,47.535549685118,-122.353024713228,Exact,R
1420 4th Avenue W 207,47.631561998502,-122.361721003598,Non_Exact,R
1433 Lake Washington Boulevard,47.612565109686,-122.281597856609,Exact,L
1447 NW 205th Street,47.777777083805,-122.376287756029,Exact,L
1450 E Republican Street 306,47.623155676185,-122.313549597444,Non_Exact,L
14720 25th Avenue NE,47.735789068601,-122.301887512513,Exact,R
1476 NW 70th A,47.67958827827,-122.376041124872,Non_Exact,R
14803 6th Avenue NE,47.736530031081,-122.322388926426,Exact,L
1500 42nd Avenue E #6,47.632200238031,-122.278466947263,Exact,R
1508 35th Avenue S,47.588956629125,-122.287938254098,Exact,L
151 SE Paulcyn Lane,,,Nominatim_NoMatch,
1511 NW 90th Street,47.694626511451,-122.376983509583,Exact,L
1516 E Republican #4,47.623315801813,-122.312359085412,Non_Exact,L
1520 California Avenue SW 202,47.590303179537,-122.386110090461,Non_Exact,L
15205 140TH Way SE K-304,,,Nominatim_NoMatch,
1521 Sunset Avenue SW,47.590216309357,-122.390483242628,Exact,R
15218 22nd Avenue SW,47.466543747416,-122.361831712777,Exact,L
1525 14th Avenue 406,47.61442933967,-122.314313957287,Non_Exact,L
1526 NW 63rd Street,47.674602390714,-122.376624487469,Exact,R
1534 Cherrylane Place S 202,47.58910358929,-122.31281353617,Non_Exact,R
15729 Midvale Avenue N,47.743677321229,-122.344085300474,Exact,L
1603 NW 65th Street,47.675939228499,-122.37812802984,Exact,L
1605 E Olive Street 108,47.61638918225,-122.311326157111,Non_Exact,R
1605 E Olive Street 112,47.61638918225,-122.311326157111,Non_Exact,R
16104 36th Avenue W 127,47.6467448,-122.403633,Nominatim,
1614 E Mercer Street,47.624494974155,-122.311071029042,Exact,L
1615 1st Avenue W,47.633664914834,-122.358412116945,Exact,L
1618 40th Avenue,47.615455567568,-122.281993480767,Exact,R
1620 13th Avenue A,47.615541658657,-122.315470811392,Non_Exact,R
1623 Bellevue Avenue 102,47.615857269897,-122.326880818741,Non_Exact,L
1624 6th Avenue W,47.633719490001,-122.364945749097,Exact,R
1635 11th Avenue,47.615673244146,-122.318253111637,Exact,L
164 Aloha Street,47.627238808947,-122.353662372615,Exact,L
165 15th Avenue,47.602948004692,-122.312959084957,Exact,L
1698 E Union Street,47.612959259473,-122.310253725729,Exact,L
1770 19th Avenue S B,47.586896160838,-122.308064130526,Non_Exact,L
17710 SE 283rd Place,,,Nominatim_NoMatch,
1800 S Jackson Street 221,47.599297259899,-122.308884016103,Non_Exact,L
1803 31st Avenue S,47.58680682605,-122.293262876977,Exact,R
1808 1st Avenue W,47.634890196405,-122.358227887921,Exact,R
1821 E Calhoun Street,47.640957828157,-122.308713766781,Exact,R
