name,latitude,longitude,provenance
Queen Anne,47.6345,-122.3578,author-selected representative center; not a formal centroid
Capitol Hill,47.6253,-122.3217,author-selected representative center; not a formal centroid
Wallingford,47.6615,-122.3344,author-selected representative center; not a formal centroid
Ballard,47.6687,-122.3852,author-selected representative center; not a formal centroid
Magnolia,47.6485,-122.3973,author-selected representative center; not a formal centroid
Fremont,47.6506,-122.3508,author-selected representative center; not a formal centroid
Ravenna,47.6697,-122.3102,author-selected representative center; not a formal centroid
Madrona,47.6083,-122.2886,author-selected representative center; not a formal centroid
West Seattle,47.5614,-122.3866,author-selected representative center; not a formal centroid
Central District,47.6066,-122.3057,author-selected representative center; not a formal centroid
Rainier Valley,47.5498,-122.2754,author-selected representative center; not a formal centroid
Green Lake,47.6780,-122.3290,author-selected representative center; not a formal centroid
